CODIGO,Categoria,Subcategoria,Descripcion,CANTIDAD,PRECIO
10W40 EVOLUTION - 4lts ,3,7,-,13,80693
5W30 SHELL - 4lts ,3,7,ULTRA,14,132404
5W40 TOTAL - 4lts ,3,7,-,24,120750
0W16 TOTAL - 5lts ,3,7,-,3,172330
5W30 SHELL - 4lts ,3,7,ULTRA PROFESIONAL,2,132404
5W40 SHELL - 4lts ,3,7,-,10,120750
10W40 SHELL - 1lts ,3,7,-,9,34639
5W40 SHELL - 1lts ,3,7,-,10,34639
5W30 SHELL  - 1lts ,3,7,-,8,37876
5W40 MOB  - 1lt,3,7,-,1,0
5W40 MOTORCRAFT - 1lt,3,7,-,2,11977
10W40 MOTORCRAFT - 4lts ,3,7,-,1,54520
15W50 ELF M - 1lt,3,7,-,20,12872
20W50 PRO ELF MXI - 1lt,3,7,-,20,14324
10W50 ELF TECH MXI - 1lt,3,7,-,20,29757
10W40 MRE - 1lt,3,7,-,20,20478
20W50 CRUISE ELF - 1lt,3,7,-,20,14324
15W40 TOTAL - 4lts ,3,7,-,6,51473
20W50 SHELL - 4lts ,3,7,-,3,56004
0W20 SHELL GRANEL - 188.63,3,7,-,188,19000
5W40 SHELL GRANEL - 132.41,3,7,-,132,19000
20W50 TOTAL GRANEL - 109.93,3,7,-,109,7500
5W30 SHELL GRANEL - 24.98,3,7,-,24,19000
15W40 TOTAL GRANEL - 168.64,3,7,-,168,8500
10W40 TOTAL GRANEL - 82.45,3,7,-,82,10700
0W30 TOTAL GRANEL - 84.51,3,7,-,84,0
5W40 TOTAL - 1lts ,3,7,-,19,32917
10W40 TOTAL - 1lt,3,7,-,14,24017
10W40 MOTORCRAFT - 1lt,3,7,-,11,12279
5W40 MOTORCRAFT - 4lts ,3,7,-,1,77047
5W30 MOTORCRAFT - 4lts ,3,7,-,1,79216
5W40 MOBIL SUPER - 4lts ,3,7,-,1,0
FCI 1101C,3,4,WEGA,1,8196
FCI 1301,3,4,WEGA,1,62736
FCI 1303,3,4,WEGA,1,55726
FCI 1600,3,4,WEGA,3,11471
FCI 1610,3,4,WEGA,2,8849
FCI 1620,3,4,WEGA,5,7938
FCI 1630,3,4,WEGA,6,5447
FCI 1650,3,4,WEGA,3,14692
FCI 1694,3,4,WEGA,1,10948
FCI 1695,3,4,WEGA,11,10254
FCI 1696,3,4,WEGA,1,26488
FCI 1699,3,4,WEGA,1,38664
JFC F02,3,4,WEGA,3,26488
JFC 206,3,4,WEGA,3,34853
JFC 207/2,3,4,WEGA,5,17485
JFC 207/3,3,4,WEGA,2,21863
JFC 383,3,4,WEGA,1,16391
JFC 901,3,4,WEGA,4,34853
FCD 0726,3,4,WEGA,2,8195
FCD 0600,3,4,WEGA,1,41824
FCD 0754,3,4,WEGA,2,17205
FCD 0764,3,4,WEGA,1,69707
FCD 0766,3,4,WEGA,2,11254
FCD 0770,3,4,WEGA,1,22946
FCD 0767,3,4,WEGA,1,18944
FCD 0777,3,4,WEGA,1,16391
FCD 0778,3,4,WEGA,1,42533
FCD 0784,3,4,WEGA,1,62736
FCD 0785,3,4,WEGA,3,22962
FCD 0793,3,4,WEGA,1,33039
FCD 0795,3,4,WEGA,2,36058
FCD 0797,3,4,WEGA,1,34419
FCD 0808,3,4,WEGA,1,53708
FCD 0812,3,4,WEGA,1,66079
FCD 0816/2,3,4,WEGA,1,10510
FCD 0919,3,4,WEGA,1,45891
FCD 2045B,3,4,-,3,14585
FCD 2054,3,4,WEGA,2,40413
FCD 2061,3,4,WEGA,1,28815
FCD 2064,3,4,WEGA,1,34797
FCD 2066/1,3,4,WEGA,1,35792
FCD 2067,3,4,WEGA,1,30616
FCD 2158,3,4,WEGA,2,43728
FCD 2158/1,3,4,WEGA,3,52281
FCD 2174,3,4,WEGA,3,185552
FCD 2184,3,4,WEGA,2,121290
FCD 3091/1,3,4,WEGA,1,68747
FCD 2035,3,4,-,2,0
FCD 391/1,3,4,-,1,0
WEO 0005,3,6,WEGA,1,19647
WO 120,3,6,WEGA,8,4465
WO 121,3,6,WEGA,25,7641
WO 130,3,6,WEGA,8,3834
WO 139,3,6,WEGA,3,11019
WO 152,3,6,WEGA,25,12137
WO 160,3,6,WEGA,2,9835
WO 170,3,6,WEGA,1,10969
WO 180,3,6,WEGA,3,11471
WO 200,3,6,WEGA,23,4257
WO 205,3,6,WEGA,2,8555
WO 215,3,6,WEGA,2,12278
WO 133,3,6,WEGA,1,13765
WO 331,3,6,WEGA,2,13231
WO 340,3,6,WEGA,9,8524
WO 342,3,6,WEGA,2,30932
WO 350,3,6,WEGA,2,13111
WO 370,3,6,WEGA,44,8274
WO 410,3,6,WEGA,1,14585
WO 412,3,6,WEGA,1,8195
WO 540,3,6,WEGA,2,39334
WO 612,3,6,WEGA,2,20325
WO 670,3,6,WEGA,2,16391
WOE 110,3,6,WEGA,1,11153
WOE 130,3,6,WEGA,4,14585
WOE 131,3,6,WEGA,9,9835
WOE 259,3,6,WEGA,2,44895
WOE 314,3,6,WEGA,1,11801
WOE 455,3,6,WEGA,1,10948
WOE 458,3,6,WEGA,2,27535
WOE 505,3,6,WEGA,4,14585
WOE 506,3,6,WEGA,1,15742
WOE 510,3,6,WEGA,1,16718
WOE 612,3,6,WEGA,1,19332
WOE 630,3,6,WEGA,1,15969
WOE 640,3,6,WEGA,1,12784
WOE 680,3,6,WEGA,2,12592
WOE 681,3,6,WEGA,2,14585
WOE 710,3,6,WEGA,4,4336
WOE 710P ,3,6,WEGA,14,17628
WOE 803,3,6,WEGA,4,5605
JFO 0F01,3,6,WEGA,2,15466
JFO 0F02,3,6,WEGA,1,16525
JFO 0197,3,6,WEGA,1,13653
JFO 0209,3,6,WEGA,6,10162
JFO 0210,3,6,WEGA,0,12948
JFO 0210/1,3,6,WEGA,3,17152
JFO 0211,3,6,WEGA,4,10948
JFO 0981,3,6,WEGA,1,10948
JFO 0505P,3,6,WEGA,1,18225
JFO 0505,3,6,WEGA,1,32778
JFO 0597,3,6,WEGA,1,46703
UL 397,3,6,-,1,0
AKX 1118F,3,5,WEGA,2,41824
AKX 1129,3,5,WEGA,3,10948
AKX 1140,3,5,WEGA,12,11471
AKX 1201/C2,3,5,WEGA,3,59250
AKX 1215,3,5,WEGA,4,10948
AKX 1376,3,5,WEGA,1,13878
AKX 1396,3,5,WEGA,4,12830
AKX 1399,3,5,WEGA,11,9176
AKX 1430,3,5,WEGA,2,10948
AKX 1444-2,3,5,WEGA,22,14585
AKX 1446,3,5,WEGA,6,11495
AKX 1445-2,3,5,WEGA,1,35550
AKX 1452-2,3,5,WEGA,6,17553
AKX 1457/C,3,5,WEGA,1,40430
AKX 1600,3,5,WEGA,1,21498
AKX 1939,3,5,WEGA,1,15204
AKX 1944,3,5,WEGA,15,14585
AKX 1953,3,5,WEGA,3,19332
AKX 1956,3,5,WEGA,2,21498
AKX 1957-2,3,5,WEGA,2,29275
AKX 1959,3,5,WEGA,67,13472
AKX 1962,3,5,WEGA,2,15466
AKX 1965,3,5,WEGA,4,10162
AKX 1993,3,5,WEGA,6,13111
AKX 1967,3,5,WEGA,6,10948
AKX 2108,3,5,WEGA,15,10948
AKX 2102,3,5,WEGA,2,9835
AKX 3534,3,5,WEGA,23,19667
AKX 3536,3,5,WEGA,24,10162
AKX 3549F,3,5,WEGA,4,13111
AKX 35112,3,5,WEGA,11,9835
AKX 35178,3,5,WEGA,2,10162
AKX 35183,3,5,WEGA,13,21647
AKX 35115,3,5,WEGA,2,19718
AKX 35128,3,5,WEGA,2,14190
AKX 35132,3,5,WEGA,8,11598
AKX 35157,3,5,WEGA,2,8258
AKX 35163,3,5,WEGA,6,8849
AKX 35173,3,5,WEGA,2,0
AKX 35175F,3,5,WEGA,2,17205
AKX 35177,3,5,WEGA,15,12383
AKX 35178,3,5,WEGA,1,10162
AKX 35279,3,5,WEGA,1,10162
AKX 35285,3,5,WEGA,2,19332
AKX 35323,3,5,WEGA,39,11801
AKX 35324,3,5,WEGA,3,13111
AKX 35321,3,5,WEGA,0,8195
AKX 35347F ,3,5,WEGA,5,10162
AKX 35346,3,5,WEGA,5,12389
AKX 35350,3,5,WEGA,6,21101
AKX 35603,3,5,WEGA,1,33311
AKX 1456,3,5,WEGA,2,17205
AKX 35723,3,5,WEGA,29,13111
AKX 35346F ,3,5,WEGA,3,12389
AKX 35347/CF,3,5,WEGA,1,25231
AKX 1541F,3,5,WEGA,1,49491
AKX F150,3,5,WEGA,5,15478
AKX 2161,3,5,WEGA,7,11801
AKX 1700,3,5,WEGA,1,14585
AKX 1397/C,3,5,WEGA,1,34853
AKX 1130,3,5,WEGA,2,17205
AKX 1925,3,5,WEGA,1,15764
 AKX 3532,3,5,WEGA,1,29275
AKX 1397 ,3,5,WEGA,1,12784
AKX 3567,3,5,WEGA,3,23382
AKX 3565,3,5,WEGA,3,29502
 AKX 35281,3,5,WEGA,2,13111
AKX 1433,3,5,WEGA,2,17205
AKX 3566-2,3,5,WEGA,2,48795
AKX 35634,3,5,WEGA,2,19718
AKX 35181-2,3,5,WEGA,2,24397
AKX 1100,3,5,WEGA,2,23199
AKX 3569,3,5,WEGA,3,19332
AKX 1201-2,3,5,WEGA,1,22946
AKX 1600,3,5,WEGA,2,21498
